机构名称,网址,地点,邮箱,负责人
Rotorua Girls' High School,,New Zealand,principal@rghs.school.nz,Miss Sarah Riley
Rotorua Lakes High School,,New Zealand,office@rotorualakes.school.nz,Ms Joanne Sturme
Rototuna Junior High School,www.rjhs.school.nz,New Zealand,,Mrs Melissa Moore
Rototuna Senior High School,www.rshs.school.nz,New Zealand,communication@rhs.school.nz,Karen Stimson
Roxburgh Area School,,New Zealand,mail@roxburgh.school.nz,Mr Paul McDowall
Ruapehu College,,New Zealand,distancelearning@ruapehu.school.nz,Mr Kristopher Vine
Ruawai College,,New Zealand,admin@ruawaicollege.school.nz,Mr Aidyn Rasmussen
Ruru Specialist School,www.rurued.school.nz,New Zealand,erin@rurued.school.nz,Mrs Erin Cairns
Rutherford College,,New Zealand,admin@rutherford.school.nz,Mr Gary Moore
Sacred Heart College (Auckland),,New Zealand,marygraham@sacredheart.school.nz,Mr Patrick Walsh
Sacred Heart College (Lower Hutt),,New Zealand,college@sacredheartcollege.school.nz,Mrs Katrina Kerr-Bell
Sacred Heart College (Napier),,New Zealand,admin@shcn.school.nz,Mrs Maria Neville-Foster
Sacred Heart Girls' College (Hamilton),,New Zealand,hearts@shgcham.school.nz,Dean Rogers
Sacred Heart Girls' College (New Plymouth),,New Zealand,admin@shgcnp.school.nz,Barbara Blyth Costelloe
Samuel Marsden Collegiate School,,New Zealand,info@marsden.school.nz,Ms Paula Wells
Sancta Maria College,,New Zealand,admin@sanctamaria.school.nz,Louise Moore
School of Secondary Tertiary Studies,,New Zealand,lyn.newton@manukau.ac.nz,Mr Gareth Leadbeater
Scots College,,New Zealand,lesley.sampson@scotscollege.school.nz,Mr Graeme Yule
Selwyn College,,New Zealand,info@selwyn.school.nz,Ms Sheryll Ofner
Ngā Tama o Ōruapaeroa,,New Zealand,tmg@shirley.school.nz,Mr Tim Grocott
Sir Edmund Hillary Collegiate Senior School,,New Zealand,office.seniorschool@sehc.school.nz,Ms Donna Tupaea
Solway College,,New Zealand,office@solwaycollege.school.nz,Mrs Janine Tupaea
Sonrise Christian School,www.sonrise.school.nz,New Zealand,info@sonrise.school.nz,Mr Andrew Russell
South Otago High School,,New Zealand,principal@sohs.school.nz,Nigel Scarth
South Westland Area School,,New Zealand,office@swas.ac.nz,Mr Nick Glancy
Southern Cross Campus,,New Zealand,smsmith@southerncross.school.nz,Mrs Samantha Smith
Southern Health School,www.srhs.school.nz,New Zealand,secretary@southernhealth.school.nz,Ms Linda Miller
Southland Boys' High School,,New Zealand,mail@sbhs.school.nz,Mr Ray Laurenson
Southland Girls' High School,,New Zealand,excellence@southlandgirls.school.nz,Mr John Grogan
Spotswood College,,New Zealand,admin@spotswoodcollege.school.nz,Darren Scott
St Andrew's College,,New Zealand,reception@stac.school.nz,Mr Evert van Florenstein
St Bede's College,www.stbedes.school.nz,New Zealand,office@stbedes.school.nz,Mr Jon McDowall
St Bernard's College,,New Zealand,office@sbc.school.nz,Mr Simon Stack
St Catherine's College,www.stcatherinescollege.school.nz,New Zealand,office@stcatherinescollege.school.nz,Ms Amelie Kelder
St Cuthbert's College,,New Zealand,reception@stcuthberts.school.nz,Ms Charlotte Avery
St Dominic's Catholic College (Henderson),,New Zealand,stdoms@stdoms.ac.nz,Mrs Anna Swann
St Hilda's Collegiate School,,New Zealand,admin@shcs.school.nz,Mrs Jacqueline Barron
St Ignatius of Loyola Catholic College,,New Zealand,office@ignatius.school.nz,Dean Wearmouth
St John's College (Hamilton),,New Zealand,secretary@stjohns-hamilton.school.nz,Shane Tong
St John's College (Hastings),,New Zealand,admin@stjohns.school.nz,Mr George Rogers
St Joseph's Māori Girls' College,www.sjmgc.school.nz,New Zealand,stjomaori@sjmgc.school.nz,Ms Ngahina Transom
St Kentigern College,www.saintkentigern.com,New Zealand,damon.emtage@saintkentigern.com,Mr Damon Emtage
St Kentigern Girls' School,,New Zealand,skg_admin@saintkentigern.com,Ms Juliet Small
St Kevin's College,,New Zealand,college@stkevins.school.nz,Mrs Joanne Walshe
St Margaret's College,,New Zealand,admin@stmargarets.school.nz,Ms Diana Patchett
St Mary's College (Auckland),,New Zealand,office@stmaryak.school.nz,Ms Sarah Dwan
St Mary's College (Wellington),www.stmw.school.nz,New Zealand,principal@stmw.school.nz,Ms Sarah Parkinson
St Matthew's Collegiate (Masterton),,New Zealand,principal@stmatts.school.nz,Ms Kiri Gill
St Oran's College,,New Zealand,cford@storans.school.nz,Ms Amanda Gibbs
St Patrick's College (Silverstream),https://www.stream.school.nz/,New Zealand,info@stream.school.nz,Mr Robert Ferreira
St Patrick's College (Wellington),,New Zealand,admin@stpats.school.nz,Mr Mike Savali
Auckland,,New Zealand,stpauls@stpaulscollege.co.nz,Mr Keith Simento
St Paul's Collegiate School,,New Zealand,info@stpauls.school.nz,Mr Benjamin Skeen
St Peter's College (Auckland),,New Zealand,admin@st-peters.school.nz,Mr James Bentley
St Peter's College (Gore),,New Zealand,office@stpetersgore.school.nz,Mr Kieran Udy
St Peter's College (Palmerston North),,New Zealand,office@stpeterspn.school.nz,Mrs Margaret Leamy
St Peter's School (Cambridge),,New Zealand,info@stpeters.school.nz,Kate Paine
St Thomas of Canterbury College,,New Zealand,staff@stc.school.nz,Mr Steve Hart
Stratford High School,,New Zealand,mail@stratfordhigh.school.nz,Mr Cameron Stone
Tai Wananga,,New Zealand,admin@taiwananga.co.nz,Mr Toby Westrupp
Taieri College,www.taieri.school.nz,New Zealand,office@taieri.school.nz,Mr David Hunter
Taihape Area School,,New Zealand,admin@tas.school.nz,Mrs Michelle Cameron
Taikura Rudolf Steiner School,,New Zealand,office@taikura.school.nz,Ms Pippa Caccioppoli
Taipa Area School,,New Zealand,ngairet@taipa.school.nz,Ms Lisa White
Taita College,,New Zealand,secretary@taita.school.nz,Mrs Linda Pye
Takapuna Grammar School,,New Zealand,office@tgs.school.nz,Mrs Mary Nixon
Tamaki College,,New Zealand,admin@tamaki.ac.nz,Mrs Soana Pamaka
Tamatea High School,www.tamatea.school.nz,New Zealand,enquiries@tamatea.school.nz,Jesse Te Weehi
Tangaroa College,,New Zealand,office@tangaroa.school.nz,Mr Chris Bean
Tapawera Area School,,New Zealand,sellis@tapawera.school.nz,Mr Andy Ashworth
Taradale High School,,New Zealand,office@ths.school.nz,Mr David Oliver
Taranaki Diocesan School for Girls,,New Zealand,office@stmarysstratford.school.nz,Maria Taylor
Tararua College,,New Zealand,admin@tc.school.nz,Mr Iain Anderson
Tarawera High School,,New Zealand,principal@tarawera.school.nz,Mrs Marissa Peters
Tauhara College,,New Zealand,info@tauhara.school.nz,Mr Ben Hancock
Taumarunui High School,,New Zealand,office@taumarunuihighschool.co.nz,Mr John Rautenbach
Tia College,,New Zealand,mail@taupocollege.ac.nz,Mr Benjamin Claxton
Tauranga Boys' College,www.tbc.school.nz,New Zealand,principal@tbc.school.nz,Mr Andrew Turner
Tauranga Girls' College,,New Zealand,info@tgc.school.nz,Mrs Tara Kanji
Tauraroa Area School,,New Zealand,general@tauraroa.school.nz,Mr Grant Burns
Tawa College,www.tawacollege.school.nz,New Zealand,krawles@tawacollege.school.nz,Andrew Savage
Te Aho o Te Kura Pounamu,www.tekura.school.nz,New Zealand,info@tekura.school.nz,Ms Te Rina Leonard
Te Ara Whānui Kura Kaupapa Māori o Ngā Kohanga Reo o Te Awa Kairangi,,New Zealand,kura@tawkkm.school.nz,Ms Kararaina Luke
Te Aratai College,,New Zealand,office@linwoodcollege.school.nz,Ms Maria Lemalie
Te Aratika Academy,tearatika.school.nz,New Zealand,dana-lee.johnson@tearatika.school.nz,Pep Bracken
Te Aroha College,www.tearoha.school.nz,New Zealand,office@tacol.nz,Mr Neil Harray
Te Aute College,,New Zealand,teaute@xtra.co.nz,Mrs Rachel Kingi
Te Awamutu College,,New Zealand,info@tac.school.nz,Mr Tony Membery
Te Kāpehu Whetū,www.tkw.ac.nz,New Zealand,info@tkw.ac.nz,Raewyn Tipene
Te Kāpehu Whetū Tamaki,,New Zealand,b.meyer@mokonz.co.nz,Te Kāpehu Whetū Tamaki
Te Karaka Area School,,New Zealand,office@tkas.school.nz,Mrs Renae Savage
Te Kauwhata College,,New Zealand,admin@tkcoll.school.nz,Mrs Deborah Hohneck
Te Kōpuku High,www.tekopukuhigh.school.nz,New Zealand,enquiries@tekopukuhigh.school.nz,Ms Cath Rau
Te Kuiti High School,,New Zealand,principal@tkhs.school.nz,Mr Gareth Williams
Te Kura ā Iwi o Ngāti Kauwhata,,New Zealand,tumuaki@kauwhata.school.nz,Amohia Rolls
Te Kura Kaupapa Maori a Rohe o Mangere,,New Zealand,admin@mangerekura.school.nz,Mrs Lucy Te Moana
Te Kura Kaupapa Maori o Hoani Waititi,www.hoaniwaititi.school.nz,New Zealand,ann_ber@hoaniwaititi.school.nz,Te Hira Keretene Te Whakaiti Paenga
Te Kura Kaupapa Māori o Horouta Wānanga,,New Zealand,office@horoutawananga.school.nz,Mrs Brucenna Nohotima
Te Kura Kaupapa Maori o Hurungaterangi,www.hurunga.school.nz,New Zealand,admin@hurunga.school.nz,Ms Oriana Lemon
Te Kura Kaupapa Māori o Kaikohe,,New Zealand,tari@kurakaikohe.school.nz,Mrs Marea Timoko
Te Kura Kaupapa Maori o Kawakawa Mai Tawhiti,,New Zealand,tari@kkmt.school.nz,Mr Campbell Dewes
Te Kura Kaupapa Maori o Nga Maungarongo,www.kkmmaungarongo.co.nz,New Zealand,maungarongo@xtra.co.nz,Marhys Leef
Te Kura Kaupapa Maori o Nga Mokopuna,,New Zealand,office@tkkmmokopuna.school.nz,Mr David Wright
Te Kura Kaupapa Māori o Ngā Uri a Māui,,New Zealand,office@ngauriamaui.school.nz,Mrs Jodi Smith
Te Kura Kaupapa Māori o Ngāti Kahungunu ki Heretaunga,,New Zealand,tkkmonkkh@gmail.com,Te Kura Kaupapa Māori o Ngāti Kahungunu ki Heretaunga
Te Kura Kaupapa Māori o Ngāti Kahungunu o te Wairoa,,New Zealand,tumuaki@kkmwairoa.school.nz,Ms Leonie McEwan
Te Kura Kaupapa Maori O Ngati Ruanui,,New Zealand,,Mrs Cushla Close
Kiwa,,New Zealand,tari@puau.school.nz,Ms Debra Cotterill
Te Kura Kaupapa Māori o Pukemiro,,New Zealand,pn@pukemirokura.school.nz,Doctor Mere Snowden
Te Kura Kaupapa Maori o Ruamata,,New Zealand,par_ran@ruamata.school.nz,Ms Cathy Dewes
Te Kura Kaupapa Maori o Tamaki nui a Rua,,New Zealand,tari@tamakinuiarua.school.nz,Te Kura Kaupapa Maori o Tamaki nui a Rua
Te Kura Kaupapa Maori o Taumarere,,New Zealand,manu@taumarere.school.nz,Miss Manu Sinclair
Te Kura Kaupapa Māori o Te Ara Hou,,New Zealand,tari@tearahou.school.nz,Vicki Peni
Te Kura Kaupapa Māori o Te Hiringa,tekuraotehiringa.com,New Zealand,tumuaki@tehiringa.school.nz,Mrs Meri Blakey
Te Kura Kaupapa Maori o Te Koutu,,New Zealand,ranara@koutu.school.nz,Mr Angus Douglas
Te Kura Kaupapa Maori o Te Kura Kokiri,www.kurakokiri.maori.nz,New Zealand,admin@kurakokiri.maori.nz,Mr Mark Nicholas
Te Kura Kaupapa Maori o Te Orini ki Ngati Awa,www.tkkmteorini.school.nz,New Zealand,admin@tkkmteorini.school.nz,Ngarimu Daniels
Te Kura Kaupapa Maori o Te Raki Paewhenua,,New Zealand,tari@terakipaewhenua.school.nz,Miss Kataraina Mutu
Te Kura Kaupapa Maori o Te Rawhitiroa,,New Zealand,tari@terawhitiroa.school.nz,Miss Moana-Aroha Henry
Te Kura Kaupapa Maori o Te Rito,,New Zealand,tari@terito.school.nz,Mrs Ariana REWETI
Te Kura Kaupapa Māori o Te Tonga o Hokianga,,New Zealand,tari@kurahokianga.co.nz,Dorothy Buckley
Te Kura Kaupapa Māori o te Waiū o Ngāti Porou,,New Zealand,tari@tewaiu.school.nz,Marama Beach
Te Kura Kaupapa Māori o Te Wānanga Whare Tapere o Takitimu,www.schoolground.co.nz/kuratakitimu,New Zealand,admin@wharetapere.school.nz,Kath Hawaikirangi
Te Kura Kaupapa Māori o Te Whānau Tahi,www.whanau-tahi.school.nz,New Zealand,mahanui@whanau-tahi.school.nz,Ms Hayley May
Te Kura Kaupapa Māori o Tuia te Matangi,www.tuiatematangi.ac.nz,New Zealand,tari@tuiatematangi.ac.nz,Mr Anthony deThierry
Te Kura Kaupapa Māori o Tupoho,,New Zealand,ngahuia.kawau@tupoho.school.nz,Captain Ngahuia Kawau
Te Kura Kaupapa Māori o Wairarapa,,New Zealand,tari@kkmow.school.nz,Mrs Phillipa Rimene
Te Kura Kaupapa Maori o Whakarewa I Te Reo Ki Tuwharetoa,,New Zealand,whakarewa@whakarewa.school.nz,Mr Henare Pitiroi
Te Kura Kaupapa Māori o Whangaroa,,New Zealand,tumuaki@whangaroakkm.co.nz,Maureen Deverland
Te Kura Kaupapa Motuhake o Tawhiuau,,New Zealand,tawhiuau.kura@tawhiuau.school.nz,Mrs Lana Anderson
Te Kura Mana Maori o Whangaparaoa,,New Zealand,tihirau2@xtra.co.nz,Miss Michelle Satchell
Te Kura Maori o Nga Tapuwae,,New Zealand,info@ngatapuwae.school.nz,Ms Arihia Stirling
Te Kura Māori o Porirua,,New Zealand,e.baker@kura-porirua.school.nz,Te Kura Māori o Porirua
Rohe o Waiohau,,New Zealand,TKM@Waiohau.school.nz,Kathy Tinsley
Te Kura o Hirangi,,New Zealand,mainoffice@hirangi.maori.nz,Henarata Ham
Te Kura o Kokohuia,,New Zealand,kokohuia@kokohuia.co.nz,Tamahaia Skinner
Te Kura o Te Whanau a Apanui,,New Zealand,therewini@tkotwaa.school.nz,Teia Herewini
Te Kura Taumata o Panguru,,New Zealand,office@panguru.school.nz,Mrs Mina Pomare-Peita
Te Kura Whakapūmau i te Reo Tūturu ki Waitaha,,New Zealand,kura@whakapumau.ac.nz,Mr Hone Rask
iwi o Whakatupuranga Rua Mano,,New Zealand,tari@wrm.school.nz,Mr Tanira Cooper
Te Pā o Rākaihautū,,New Zealand,tepa@rakaihautu.com,Ms Terina Tahau
Te Paepae o Aotea,www.tepaepaeoaotea.school.nz,New Zealand,rachel.williams@tepaepaeoaotea.school.nz,Ms Rachel Williams
Te Pi'ipi'nga Kakano Mai I Rangiātea,,New Zealand,tari@tpkmir.school.nz,Mrs Tessa Moana Kake
Te Puke High School,,New Zealand,tphs@tepuke.school.nz,Alan Liddle
Te Rangi Āniwaniwa,,New Zealand,tumuaki@aniwaniwa.school.nz,Mrs Te Irirangi Tawhara
Te Waha o Rerekohu Area School,,New Zealand,rerekohu@xtra.co.nz,Mrs Lynn Burrell
Te Wharekura o Arowhenua,,New Zealand,tari@arowhenua.school.nz,Te Wharekura o Arowhenua
Te Wharekura o Huiarau,,New Zealand,office@huiarau.school.nz,Lindsay Dunn
Te Wharekura o Kirikiriroa,,New Zealand,,Mr Anthony Walker
Te Wharekura o Manaia,twom.school.nz,New Zealand,tepuna@twom.school.nz,Mr Martin Mikaere
Te Wharekura o Maniapoto,,New Zealand,marianap@maniapoto.school.nz,Ms Denise Marshall
Te Wharekura o Manurewa,,New Zealand,mnathan@twmanurewa.school.nz,Mr Maahia Nathan
Te Wharekura o Mauao,www.mauao.school.nz,New Zealand,admin@mauao.school.nz,Mr Heywood Kuka
Te Wharekura o Nga Purapura o Te Aroha,,New Zealand,tari@npota.school.nz,Mr Jade Tapine
Te Wharekura o Ngati Rongomai,,New Zealand,Renandtuki@ngatirongomai.school.nz,Tukiterangi Curtis
Te Wharekura o Rakaumangamanga,www.rakaumanga.school.nz,New Zealand,judi.muru@gmail.com,Mr John Heremia
Te Wharekura o Ruatoki,,New Zealand,recept@ruatoki.school.nz,Mr Wallace Pene
Te Wharekura o Te Kaokaoroa o Patetere,www.kaokaoroa.school.nz,New Zealand,office@kaokaoroa.school.nz,Mr Keith Silveira
Te Wharekura o Te Rau Aroha,,New Zealand,tariterauaroha@xtra.co.nz,Mr Mokoro Gillett
Te Whata Tau o Putauaki,www.twtop.school.nz,New Zealand,tari@twtop.school.nz,Te Rangihaeata Hare
Tereora College,,New Zealand,principal@tereora.edu.ck,Tereora College
Thames High School,,New Zealand,office@thameshigh.school.nz,Mr Michael Hart
The BUSY School NZ,thebusyschool.org.nz,New Zealand,moana.vaaelua@thebusyschool.org.nz,Mrs Moana Vaaelua
The Catlins Area School,,New Zealand,learn@catlins.school.nz,Mrs Glenys Hanley
Tikipunga High School,,New Zealand,sec@tikihigh.school.nz,Emma Leyland
Timaru Boys' High School,,New Zealand,tbhs@timaruboys.school.nz,Mr Dave Thorp
Timaru Girls' High School,,New Zealand,admin@timarugirls.school.nz,Ms Deb Hales
Titikaveka College,,New Zealand,principal@titikaveka.edu.ck,Mrs Raewyn Morgan
Toi Ohomai Institute of Technology,www.toiohomai.ac.nz,New Zealand,info@toiohomai.ac.nz,Leoni Drew
Tokomairiro High School,,New Zealand,ths@tokohigh.school.nz,Mrs Vicki Wish
Tokoroa High School,www.tokoroahigh.school.nz,New Zealand,info@tokoroahigh.school.nz,Mr William Ford
Tolaga Bay Area School,,New Zealand,tolaga1@uawa.ac.nz,Mrs Kirstin Wilson-Moore
Tongariro School,,New Zealand,administration@tongariro.school.nz,Ms Sharlyn Holt
Totara College of Accelerated Learning,,New Zealand,office@totaracollege.school.nz,Peter Ferrar
Trident High School,,New Zealand,principal@trident.school.nz,Mr Mikaere October
Trinity Catholic College,www.trinity.school.nz/,New Zealand,trinity@trinity.school.nz,Mrs Kathryn Nicholson
Tuakau College,,New Zealand,principal@tuakaucollege.com,Mr Christopher Betty
Tūranga Tangata Rite,ttr.school.nz/index.html,New Zealand,office@ttr.school.nz,Teresa Scott
Twizel Area School,,New Zealand,office@twizel.school.nz,Twizel Area School
Tyndale Park Christian School,,New Zealand,admin@tyndalepark.school.nz,Mr Lloyd Vivian
UP International College New Zealand,,New Zealand,meng.chen@up.education,Mr Julian Latimer
Upper Hutt College,,New Zealand,vanmarenj@upperhutt.school.nz,Judith Taylor
Vanguard Military School,www.vanguard.school.nz,New Zealand,admin@vanguard.school.nz,Mr Steve Mueller
Verdon College,,New Zealand,admin@verdoncollege.school.nz,Mr Jarlath Kelly
Villa Maria College,,New Zealand,villa@villa.school.nz,Ms Deborah Brosnahan
Wa Ora Montessori School,,New Zealand,ava@waora.school.nz,Mrs Ava Szabo
Waiau Area School,,New Zealand,admin@was.school.nz,Mr Andrew Pardoe-Burnett
Waiheke High School,waihekehigh.school.nz/,New Zealand,enquiries@waihekehigh.school.nz,Lt Cmdr Cameron Flude
Waihi College,,New Zealand,principal@waihicol.school.nz,Briar Carden-Scott
Waikato Diocesan School For Girls,,New Zealand,info@wdsg.school.nz,Mrs Angee Robertson
Waimate High School,,New Zealand,gen@waimate-high.school.nz,Mr Andrew Jones
Waimea College,,New Zealand,Yvonne.fenemor@waimea.school.nz,Mr Fraser Hill
Wainuiomata High School,,New Zealand,office@wainuiomatahigh.school.nz,Ms Lea Vellenoweth
Waiopehu College,,New Zealand,secretary@waiopehu.ac.nz,Mr Guy Reichenbach
Wairarapa College,,New Zealand,office@waicol.co.nz,Mr Matthew White
Wairoa College,,New Zealand,info@wairoacollege.school.nz,Mr Paul Westwood
Waitakere College,www.waitakerecollege.school.nz,New Zealand,secretary@waitakerecollege.school.nz,Mr Mark Shanahan
Waitaki Boys' High School,,New Zealand,rector@waitakibhs.school.nz,Mr Darryl Paterson
Waitaki Girls' High School,,New Zealand,principalpa@waitakigirlshigh.school.nz,Ms Sarah Hay
Waitara High School,,New Zealand,mke@waitarahs.school.nz,Mr Daryl Warburton
Waiuku College,www.waiuku-college.school.nz,New Zealand,office@waiuku-college.school.nz,Mr Stuart Kelly
Wakatipu High School,,New Zealand,drichards@wakatipu.school.nz,Oded Nathan
Wellington College,,New Zealand,admin@wellington-college.school.nz,Mr Glen Denham
Wellington East Girls' College,www.wegc.school.nz,New Zealand,wegc@wegc.school.nz,Mrs Gael Ashworth
Wellington Girls' College,,New Zealand,wgc@wgc.school.nz,Mrs Julia Davidson
Wellington High School,www.whs.school.nz,New Zealand,admin@whs.school.nz,Dominic Killalea
Wellington Hills Christian College,,New Zealand,principal@whcc.school.nz,Tim Kuipers
Wentworth College,,New Zealand,enquiries@wentworth.school.nz,Mr Bruce Tong
Wesley College,,New Zealand,admin@wesley.school.nz,Mr Brian Evans
Western Heights High School,,New Zealand,info@whhs.school.nz,Mr James Bracefield
Western Springs College,,New Zealand,robertsr@wsc.school.nz,Ms Julie Debreceny
Westlake Boys' High School,,New Zealand,office@westlake.school.nz,Mr Paul Fordham
Westlake Girls' High School,,New Zealand,jstanley@westlakegirls.school.nz,Mrs Jane Stanley
Westland High School,www.westlandhigh.school.nz/,New Zealand,office@westlandhigh.school.nz,Mrs Adrienne Reeves
Whakatane High School,,New Zealand,admin@whakatanehigh.school.nz,Whakatane High School
Whangamata Area School,,New Zealand,office@whangamata.school.nz,Alistair Luke
Whanganui City College,https://www.wcc.school.nz,New Zealand,office@wcc.school.nz,Mr Eugene van Heerden
Whanganui Collegiate School,,New Zealand,wcs@collegiate.school.nz,Tasha Bullock
Whanganui Girls' College,,New Zealand,administration@wgc.ac.nz,Nita Pond
Whanganui High School,,New Zealand,principal@wanganuihigh.school.nz,Martin McAllen
Whangaparaoa College,,New Zealand,enquiries@wgpcollege.school.nz,Mr Steve McCracken
Whangarei Boys' High School,,New Zealand,enquiries@wbhs.school.nz,Mr Alec Solomon
Whangarei Girls' High School,www.wghs.school.nz,New Zealand,office@wghs.school.nz,Whangarei Girls' High School
Whangaroa College,,New Zealand,office@whc.school.nz,Mr Jack Anderson
Whitby Collegiate,www.whitbycollegiate.school.nz,New Zealand,office@whitbycollegiate.school.nz,Ms Shelley Addison
William Colenso College,www.colenso.school.nz,New Zealand,postmaster@colenso.school.nz,Mrs Jocelyn Auld
Woodford House,,New Zealand,enquiries@woodford.school.nz,Julie Peterson
Zayed College for Girls,,New Zealand,admin@zayedcollege.school.nz,Mrs Nazmeen Ahmed
